date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:57	0/0	---M--	200	added ('OK')	text/plain	etag:%220-4febdea4c8500%22	http://virusportfolio.webstarts.com/robots.txt		(from )
21:01:57	26388/26388	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202020%2020:01:58%20GMT	http://virusportfolio.webstarts.com/	C:/My%20Web%20Sites/test/virusportfolio.webstarts.com/index.html	(from )
21:01:57	348/348	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jan%202020%2015:57:25%20GMT	https://static.secure.website/library/users/common.css	C:/My%20Web%20Sites/test/static.secure.website/library/users/common.0.delayed	(from http://virusportfolio.webstarts.com/)
21:01:58	13173/13173	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202019%2020:03:12%20GMT	https://www.webstarts.com/static/library/users/common.css	C:/My%20Web%20Sites/test/www.webstarts.com/static/library/users/common.css	(from http://virusportfolio.webstarts.com/)
21:01:58	384/384	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jan%202020%2011:11:05%20GMT	https://static.secure.website/client-site-resources/10559142/css/site.css?r=20200121041447	C:/My%20Web%20Sites/test/static.secure.website/client-site-resources/10559142/css/siteba61.css	(from http://virusportfolio.webstarts.com/)
21:01:58	53976/53976	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jan%202020%2009:14:46%20GMT	https://www.webstarts.com/static/client-site-resources/10559142/css/site.css?r=20200121041447	C:/My%20Web%20Sites/test/www.webstarts.com/static/client-site-resources/10559142/css/siteba61.css	(from http://virusportfolio.webstarts.com/)
21:01:59	394/394	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jan%202020%2011:11:05%20GMT	https://static.secure.website/client-site-resources/10559142/css/layout-desktop.css?r=20200121041447	C:/My%20Web%20Sites/test/static.secure.website/client-site-resources/10559142/css/layout-desktopba61.css	(from http://virusportfolio.webstarts.com/)
21:01:59	2431/2431	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jan%202020%2009:14:47%20GMT	https://www.webstarts.com/static/client-site-resources/10559142/css/layout-desktop.css?r=20200121041447	C:/My%20Web%20Sites/test/www.webstarts.com/static/client-site-resources/10559142/css/layout-desktopba61.css	(from http://virusportfolio.webstarts.com/)
21:01:59	375/375	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jan%202020%2016:31:22%20GMT	https://static.secure.website/library/users/fonts/public/css/public-icons.min.css	C:/My%20Web%20Sites/test/static.secure.website/library/users/fonts/public/css/public-icons.min.css	(from http://virusportfolio.webstarts.com/)
21:01:59	20725/20725	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202019%2020:03:12%20GMT	https://www.webstarts.com/static/library/users/fonts/public/css/public-icons.min.css	C:/My%20Web%20Sites/test/www.webstarts.com/static/library/users/fonts/public/css/public-icons.min.css	(from http://virusportfolio.webstarts.com/)
21:01:59	0/0	---M--	200	added ('OK')	text/css	etag:%220-507fa958086c0%22	http://virusportfolio.webstarts.com/css/position.css	C:/My%20Web%20Sites/test/virusportfolio.webstarts.com/css/position.css	(from http://virusportfolio.webstarts.com/)
21:02:00	385/385	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jan%202020%2011:11:05%20GMT	https://static.secure.website/client-site-resources/10559142/css/index.css?r=20200121041447	C:/My%20Web%20Sites/test/static.secure.website/client-site-resources/10559142/css/indexba61.css	(from http://virusportfolio.webstarts.com/)
21:02:00	2064/2064	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jan%202020%2009:14:47%20GMT	https://www.webstarts.com/static/client-site-resources/10559142/css/index.css?r=20200121041447	C:/My%20Web%20Sites/test/www.webstarts.com/static/client-site-resources/10559142/css/indexba61.css	(from http://virusportfolio.webstarts.com/)
21:02:00	400/400	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jan%202020%2011:11:05%20GMT	https://static.secure.website/client-site-resources/10559142/css/index-layout-desktop.css?r=20200121041447	C:/My%20Web%20Sites/test/static.secure.website/client-site-resources/10559142/css/index-layout-desktopba61.css	(from http://virusportfolio.webstarts.com/)
21:02:00	3117/3117	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jan%202020%2009:14:47%20GMT	https://www.webstarts.com/static/client-site-resources/10559142/css/index-layout-desktop.css?r=20200121041447	C:/My%20Web%20Sites/test/www.webstarts.com/static/client-site-resources/10559142/css/index-layout-desktopba61.css	(from http://virusportfolio.webstarts.com/)
21:02:00	376/376	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jan%202020%2018:06:45%20GMT	https://static.secure.website/library/users/magnific-popup/dist/magnific-popup.css	C:/My%20Web%20Sites/test/static.secure.website/library/users/magnific-popup/dist/magnific-popup.css	(from http://virusportfolio.webstarts.com/)
21:02:01	8668/8668	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202019%2020:03:17%20GMT	https://www.webstarts.com/static/library/users/magnific-popup/dist/magnific-popup.css	C:/My%20Web%20Sites/test/www.webstarts.com/static/library/users/magnific-popup/dist/magnific-popup.css	(from http://virusportfolio.webstarts.com/)
21:02:01	95786/95786	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/My%20Web%20Sites/test/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from http://virusportfolio.webstarts.com/)
21:02:01	347/347	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jan%202020%2015:48:09%20GMT	https://static.secure.website/library/users/common.js	C:/My%20Web%20Sites/test/static.secure.website/library/users/common.js	(from http://virusportfolio.webstarts.com/)
21:02:02	35504/35504	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2002%20Sep%202019%2001:07:50%20GMT	https://www.webstarts.com/static/library/users/common.js	C:/My%20Web%20Sites/test/www.webstarts.com/static/library/users/common.js	(from http://virusportfolio.webstarts.com/)
21:02:02	26388/26388	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202020%2020:02:03%20GMT	http://virusportfolio.webstarts.com/index.html	C:/My%20Web%20Sites/test/virusportfolio.webstarts.com/index-2.html	(from http://virusportfolio.webstarts.com/)
